year,month,day,NSI
2005,1,1,111.91
2005,1,2,112.46
2005,1,3,113.67
2005,1,4,117.64
2005,1,5,119.31
2005,1,6,119.83
2005,1,7,120.09
2005,1,8,122.08
2005,1,9,121.94
2005,1,10,121.39
2005,1,11,121.29
2005,1,12,122.89
2005,1,13,123.73
2005,1,14,125.37
2005,1,15,126.82
2005,1,16,127.1
2005,1,17,127.07
2005,1,18,129.93
2005,1,19,130.28
2005,1,20,130.55
2005,1,21,128.36
2005,1,22,127.73
2005,1,23,127.64
2005,1,24,128.04
2005,1,25,125.64
2005,1,26,123.92
2005,1,27,123.52
2005,1,28,124.54
2005,1,29,122.98
2005,1,30,122.56
2005,1,31,121.6
2005,2,1,121.6
2005,2,2,121.26
2005,2,3,120.31
2005,2,4,121.15
2005,2,5,123.28
2005,2,6,123.45
2005,2,7,124.18
2005,2,8,124.13
2005,2,9,124.81
2005,2,10,126.36
2005,2,11,125.9
2005,2,12,125.82
2005,2,13,126.55
2005,2,14,126.8
2005,2,15,128.38
2005,2,16,129.82
2005,2,17,130.26
2005,2,18,130.93
2005,2,19,130.56
2005,2,20,130.19
2005,2,21,130.74
2005,2,22,129.55
2005,2,23,125.61
2005,2,24,122
2005,2,25,121.31
2005,2,26,123.23
2005,2,27,122.95
2005,2,28,122.41
2005,3,1,124.29
2005,3,2,126.06
2005,3,3,128.24
2005,3,4,128.91
2005,3,5,127.47
2005,3,6,127.73
2005,3,7,126.08
2005,3,8,122.96
2005,3,9,122.04
2005,3,10,121.96
2005,3,11,119.76
2005,3,12,119.24
2005,3,13,119.51
2005,3,14,120.95
2005,3,15,121.84
2005,3,16,122.67
2005,3,17,121.17
2005,3,18,121.24
2005,3,19,119.72
2005,3,20,119.19
2005,3,21,117.06
2005,3,22,114.91
2005,3,23,113.56
2005,3,24,112.82
2005,3,25,112.9
2005,3,26,114.1
2005,3,27,114.95
2005,3,28,116.88
2005,3,29,120.55
2005,3,30,120.46
2005,3,31,119.62
2005,4,1,119.95
2005,4,2,120.18
2005,4,3,119.4
2005,4,4,120.94
2005,4,5,119.63
2005,4,6,121.38
2005,4,7,123.15
2005,4,8,123.83
2005,4,9,123.42
2005,4,10,123.18
2005,4,11,122.37
2005,4,12,121.46
2005,4,13,121.13
2005,4,14,121.98
2005,4,15,120.23
2005,4,16,117.77
2005,4,17,117.87
2005,4,18,117
2005,4,19,115.07
2005,4,20,115.61
2005,4,21,116.23
2005,4,22,116.69
2005,4,23,118.58
2005,4,24,118.68
2005,4,25,117.87
2005,4,26,119.49
2005,4,27,119.06
2005,4,28,117.01
2005,4,29,117.41
2005,4,30,115.64
2005,5,1,115.81
2005,5,2,116.64
2005,5,3,118.06
2005,5,4,118.48
2005,5,5,120.09
2005,5,6,120.36
2005,5,7,121.5
2005,5,8,121.18
2005,5,9,121.06
2005,5,10,120.91
2005,5,11,120.96
2005,5,12,119.47
2005,5,13,119.72
2005,5,14,119.56
2005,5,15,119.46
2005,5,16,119.7
2005,5,17,118.39
2005,5,18,116.6
2005,5,19,114.98
2005,5,20,115.44
2005,5,21,115.61
2005,5,22,115.59
2005,5,23,116.49
2005,5,24,116.89
2005,5,25,117.83
2005,5,26,119.5
2005,5,27,119.57
2005,5,28,122.43
2005,5,29,123.19
2005,5,30,122.23
2005,5,31,122.01
2005,6,1,121.84
2005,6,2,122.44
2005,6,3,122.12
2005,6,4,122.22
2005,6,5,121.89
2005,6,6,122.06
2005,6,7,120.97
2005,6,8,121.29
2005,6,9,121.61
2005,6,10,120.7
2005,6,11,118.18
2005,6,12,118.4
2005,6,13,119.13
2005,6,14,121.32
2005,6,15,120.24
2005,6,16,120.34
2005,6,17,121.52
2005,6,18,122.16
2005,6,19,121.74
2005,6,20,120.86
2005,6,21,119.59
2005,6,22,120.17
2005,6,23,119.68
2005,6,24,120.26
2005,6,25,118.55
2005,6,26,118.48
2005,6,27,118.3
2005,6,28,116.32
2005,6,29,116.82
2005,6,30,118.48
2005,7,1,117.96
2005,7,2,121.08
2005,7,3,121.45
2005,7,4,122.4
2005,7,5,127.09
2005,7,6,128.65
2005,7,7,128.01
2005,7,8,129.57
2005,7,9,128.31
2005,7,10,127.95
2005,7,11,127.65
2005,7,12,127.43
2005,7,13,126.87
2005,7,14,127.89
2005,7,15,127.52
2005,7,16,128.3
2005,7,17,128.18
2005,7,18,129.07
2005,7,19,127.47
2005,7,20,128.47
2005,7,21,127.77
