,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
1부부장,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1주년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20대_국회,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,131,130.5,130,0,0,366,947,237,0,0,0,0,0,0,0,0,0,0,0,0
21대_국회,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,1415,892,345,0,0,0,0,0,0,0,0,0,0,0
2차_북미정상회담,0,0,0,0,0,0,0,0,0,0,0,191,150,0,0,360,469,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2차_재난지원금,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,267,0,0,0,0,0,0,0,0,0
2차장,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,172,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3기_신도시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,0,0
3차_재난지원금,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,195,0,0,0,0,0,0
3차_추경,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,409,0,0,0,0,0,0,0,0,0,0,0,0
4차_재난지원금,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,772,235,0,0,0
4차_추경,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,347,0,0,0,0,0,0,0,0,0
6개월,214,181,0,0,175,0,0,0,258,258,0,0,135,155,197,162,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APEC,0,301,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0
ARF,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,485,0,0,0,0,0,0,0,0
CNN,117,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,70.5,141,110,0,388,131,0,0,0,0,0,339,0,0,0,0,0,0,0
CVID,0,0,0,0,0,0,0,467,648,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMZ,148,201,0,0,0,0,0,0,0,0,0,243,157,148,0,0,0,0,156,0,1047,183,0,177,163,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0
FTA,564,450,111,0,135,233,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,159,0,0,0,0,0,0
G20,0,0,0,0,0,0,0,0,0,0,0,0,0,700,341,0,0,0,0,294,2045,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSOMIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,338,0,0,212,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICBM,0,0,272,0,0,0,179,0,0,0,0,177,0,0,0,192,0,0,0,136,0,0,0,0,133,200,203.5,207,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0
IOC,0,0,0,670,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
JSA,0,426,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLL,0,0,0,0,0,0,0,0,0,0,0,268,282,0,0,0,0,0,0,0,153,238,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0
NSC,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,151,0,0,0,318,320,0,161,211,105.5,0,0,0,0,0,297,0,0,161,0,0,0,0,0,139,0,0,0
P4G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,152
SLBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0
SNS,0,0,0,0,0,0,179,0,213,213,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,155,147,279,0,0,160,212,274,219,211,202,221,173,262,178,240,262
UAE,0,0,508,761,0,539,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFG,0,0,0,0,0,0,0,0,262,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,139,174,188,94,0,0,0,0,0,175,194,0,0,776,0,0,0,0,0,0,0,0
X파일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543
가덕도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,151,406,1404,586,0,0,0
