일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
2012-01-01,-2.8,1.3,8.4,2012-01-19,-6.3,-12.2,2012-01-23
2012-02-01,-2,3,12.1,2012-02-22,-6,-17.1,2012-02-02
2012-03-01,5.1,9.5,16.2,2012-03-29,1.5,-5.7,2012-03-12
2012-04-01,12.3,17.9,29.4,2012-04-30,7.8,0.6,2012-04-07
2012-05-01,19.7,25.1,29.3,2012-05-22,15.4,12,2012-05-18
2012-06-01,24.1,29.7,33.5,2012-06-19,20,16.3,2012-06-01
2012-07-01,25.4,29,33.2,2012-07-29,22.4,18.5,2012-07-07
2012-08-01,27.1,30.9,36.7,2012-08-05,23.9,18.7,2012-08-31
2012-09-01,21,25,29.5,2012-09-02,17.4,12,2012-09-30
2012-10-01,15.3,20.5,26,2012-10-03,11,2.8,2012-10-31
2012-11-01,5.5,9.5,15.7,2012-11-03,1.8,-3,2012-11-30
2012-12-01,-4.1,-0.5,8.3,2012-12-15,-7.4,-14.5,2012-12-26
2013-01-01,-3.4,0.3,11.5,2013-01-31,-6.6,-16.4,2013-01-03
2013-02-01,-1.2,2.8,13.9,2013-02-28,-4.9,-15.8,2013-02-08
2013-03-01,5.1,10.8,23.8,2013-03-09,0.7,-4.4,2013-03-02
2013-04-01,10,15,21.6,2013-04-28,5.7,1.3,2013-04-10
2013-05-01,18.2,23.6,31.8,2013-05-25,13.7,7.9,2013-05-06
2013-06-01,24.4,29.2,32.6,2013-06-29,20.5,16.3,2013-06-02
2013-07-01,25.5,28.3,31.3,2013-07-01,23.4,20.5,2013-07-03
2013-08-01,27.7,31.1,33.9,2013-08-21,24.8,21.1,2013-08-31
2013-09-01,21.8,25.9,31.1,2013-09-18,18,10.9,2013-09-27
2013-10-01,15.8,21.2,28.1,2013-10-05,10.9,4.3,2013-10-26
2013-11-01,6.2,10.7,20.7,2013-11-01,2.1,-6.4,2013-11-28
2013-12-01,-0.2,3.5,11,2013-12-07,-3.5,-9.8,2013-12-28
2014-01-01,-0.7,3.5,8.2,2014-01-29,-4.9,-10.5,2014-01-13
2014-02-01,1.9,6.6,16.4,2014-02-26,-1.8,-10.5,2014-02-04
2014-03-01,7.9,13.1,23.8,2014-03-28,3.5,-4.6,2014-03-07
