순번/순위,구분,label,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1.0,자기계발,1,당신의 꿈은 무엇입니까,8901150794,9788901150796.0,3810.0,웅진지식하우스,김수영 지음,"15,000","13,500","1,500",10%,750점,20120919.0,3606.0
2.0,자기계발,1,"멈추지 마, 다시 꿈부터 써봐",8901107589,9788901107585.0,3810.0,웅진지식하우스,김수영 지음,"12,000","10,800","1,200",10%,600점,20100430.0,13755.0
3.0,자기계발,1,나는 결심하지만 뇌는 비웃는다,8971848855,9788971848852.0,13320.0,모멘텀,"데이비드 디살보 지음, 이은진 옮김","15,000","13,500","1,500",10%,750점,20120829.0,2356.0
4.0,자기계발,1,하루 15분 정리의 힘,8960865273,9788960865273.0,13320.0,위즈덤하우스,윤선현 지음,"13,800","12,420","1,380",10%,690점,20120323.0,10411.0
5.0,자기계발,1,서른 살엔 미처 몰랐던 것들,8901114631,9788901114637.0,3810.0,걷는나무,김선경 지음,"13,000","11,700","1,300",10%,650점,20101118.0,4607.0
6.0,자기계발,1,내가 행복해지는 거절의 힘,8994597123,9788994597126.0,13180.0,이다미디어,"마누엘 스미스 지음, 박미경 옮김","16,000","14,400","1,600",10%,800점,20120922.0,6312.0
7.0,자기계발,1,사람은 무엇으로 성장하는가,8997575082,9788997575084.0,13190.0,비즈니스북스,"존 맥스웰 지음, 김고명 옮김, 전옥표 감수","14,500","13,050","1,450",10%,720점,20121005.0,9659.0
8.0,자기계발,1,시크릿,8952206509,9788952206503.0,3320.0,살림Biz,"론다 번 지음, 김우열 옮김","13,800","12,420","1,380",10%,690점,20070622.0,113250.0
9.0,자기계발,1,미생 1,8960865567,9788960865563.0,17810.0,위즈덤하우스,윤태호 글.그림,"11,000","9,900","1,100",10%,550점,20120913.0,4768.0
10.0,자기계발,1,리딩으로 리드하라,8954613020,9788954613026.0,3320.0,문학동네,이지성 지음,"15,000","13,500","1,500",10%,750점,20101117.0,28753.0
11.0,자기계발,1,어떻게 원하는 것을 얻는가,8933870180,9788933870181.0,3320.0,8.0,"스튜어트 다이아몬드 지음, 김태훈 옮김","15,000","13,500","1,500",10%,750점,20111130.0,31277.0
12.0,자기계발,1,미생 2,8960865591,9788960865594.0,17810.0,위즈덤하우스,윤태호 글.그림,"11,000","9,900","1,100",10%,550점,20120913.0,4174.0
13.0,자기계발,1,나는 남들과 무엇이 다른가,8996947415,9788996947417.0,13320.0,8.0,정철윤 지음,"6,000","5,400",600,10%,300점,20120928.0,1420.0
