word,count
나,560
법,435
인생,434
사람,375
말,369
내,326
일,326
것,320
생각,297
기술,267
힘,262
당신,237
공부,236
습관,230
마음,222
가지,204
여자,170
위,167
책,166
왜,156
심리학,149
시간,139
리더,138
비밀,130
수업,130
법칙,128
분,127
션,123
살,121
적,120
성공,120
년,118
하라,115
남자,114
시작,113
하루,110
독서,110
기적,110
세상,104
정리,103
삶,102
꿈,100
인,100
행복,99
대화,99
자기,97
사랑,96
부자,95
리더십,94
마흔,87
더,87
그,86
돈,86
영어,82
지금,82
수,82
카네기,81
오늘,81
모든,80
노트,80
질문,79
론,78
너,78
연습,77
감정,77
때,77
최고,75
장,75
뇌,74
무엇,71
전권,70
에디,69
리,68
세트,67
글쓰기,66
하버드,66
편,65
회사,64
혼자,63
이야기,63
인간관계,62
데일,62
결정,61
관계,60
연애,60
기획,60
못,59
스,58
전략,58
엄마,58
우리,58
답,57
화법,57
취업,57
게,57
세,57
서른,56
지혜,56
생활,55
심리,55
